949.6/04;The armenian question 1914 - 1923;OKE Mim Kemal;Usa;Rustem and brother;1988;298;Turquie;24136
94_44_/01;L'empire renaissant 1789-1871: l'aventure coloniale de la France;MARTIN Jean;Paris;Denoêl;1987;330;Histoire du moyen-âge;18295
94_468.1_/01;Pensers d'Al-Andalus: la vie intellectuelle à Cordoue et Seville au temps des empires berbères (fin XI siècle - début XIII siècle);URVOY Dominique;Paris;Cnrs/Pum;1990;214;Histoire du moyen-âge;22610
94_468.1_/01bis;Pensers d'Al-Andalus: la vie intellectuelle à Cordoue et Seville au temps des empires berbères (fin XI° siècle - début XIIIè siècle);URVOY Dominique;Paris;Cnrs;1990;214;Histoire du moyen âge: andalus;23851
94_924_/01;Juifs en terre d'islam;LEWIS Bernard;Paris;C. Lévy;1986;264;Histoire moderne;16723
94_927_/01;Entre l'Islam et l'arabisme: les arabes jusqu'au 1945;RIZK Charles;Paris;A. Michel;1983;373;Histoire moderne;10353
94:297/01;L'Orient du XVI siècle: une société musulmane florissante;BERNARD Yvelise;Paris;L'Harmattan;1988;424;Histoire du moyen âge et histoire moderne en;21266
94:297/02;Sultanes oubliées: femmes chefs d'état en Islam;MERNISSI Fatima;Casablanca;Le Fennec;1990;310;Histoire du moyen âge et histoire moderne;22776
94/01;Pour une histoire du quotidien: au XIXè siècle en nivernais;THUILLIER Guy;Paris;Mouton;1977;490;Histoire du moyen age;6736
94/02;Mahomet et Charlemagne;PIRENNE Henri;Paris;Puf;1970;218;Histoire du moyen age;6026
94/03;Les mérovingiens;FOURNIER Gabriel;Paris;Puf;1978;128;Histoire du moyen âge;2040
94/04;Les grandes dates du moyen-âge;DELORME Jean;Paris;Puf;1976;127;Histoire du moyen âge;2038
94/05;Histoire de demain;FOURASTIE Jean. VIMONT Caude;Paris;Puf;1968;127;Histoire moderne;1870
94/06;La vie au moyen âge;D'HAUCOURT Geneviève;Paris;Puf;1975;128;Histoire du moyen âge;1555
94/07;Les croisades;MORRISSON Cecile;Paris;Puf;1977;127;Histoire du moyen âge;2042
94/08;Marchands et banquiers du moyen âge;LEGOFF Jacques;Paris;Puf;1972;128;Histoire du moyen âge;1348
94/09;La chevalerie;DUPUY De Clinchamps Philippe;Paris;Puf;1973;127;Histoire du moyen age;2041
94/10;Pirates et flibustiers;DESCHAMPS Hubert;Paris;Puf;1973;125;Histoire du moyen age;1345
94/11;La civilisation de l'occident médiéval;LE GOFF Jacques;Paris;Flammarion;1982;367;Histoire du moyen age;8821
94/12;Culture et travail intellectuel dans l'occident médiéval;CNRS;Paris;Cnrs;1981;228;Histoire du moyen age;9895
94/13;Précis d'histoire du moyen âge;HEERS Jacques;Paris;Puf;1968;388;Histoire du moyen âge;14606
94/14;Prédication et propagande du moyen âge: Islam Byzance, Occident;MAKDISI George. SOURDEL Dominique. SOURDEL-THOMINE Janine;Paris;Puf;1983;279;Histoire du moyen age;13532
94/15;The fates of nations: a biological theory of history;COLINVAUX Paul;;Penguin;1980;257;Histoire moderne en générale;11847
94/16;The pelican history of the world;ROBERTS J. M;London;Benguinbooks;1980;1056;Histoire;10207
94/17;Orientalism;SAID Edward;London;R.k.p;1980;350;Histoire moderne en générale;9105
94/18;La révolution industrielle 1780-1880;RIOUX Jean-Pierre;Paris;Seuil;1971;251;Histoire moderne en générale;10269
94/19;Arabic thought in the liberal age (1798-1939);HOURANI Albert;New York;Cambridge Univ. Press;1983;373;Histoire moderne en générale;11997
94/20;Le sanglot de l'homme blanc: Tiers-Monde, culpabilité, haine de soi;BRUCKNER Pascal;Paris;Seuil;1983;309;Histoire moderne;13799
94/21;Ecoles et enseignement dans le haut moyen-âge;RICHE Pierre;Paris;Aubier;1979;462;Histoire du moyen-âge;15665
94/22;L'orientalisme: l'orient crée par l'occident;SAID Edward;Paris;Seuil;1980;400;Histoire moderne;6355
94/23;Regards sur le passé et autres textes 1912-1922;KANDINSKY Wassily;Paris;Hermann;1974;325;Histoire;15509
94/24;Le 19è siècle à travers les âges;MURAY Philippe;Paris;Denoêl;1984;686;Histoire moderne en général;19472
94/25;L'invention de l'homme moderne: sensibilités moeurs et comportements collectifs sous l'ancien régime;MUCHEMBLED Robert;Paris;Fayard;1988;516;Histoire moderne: histoire sociale;21113
94/26t1;Histoire économique et sociale du monde: l'ouverture du monde XIVè XVI siècle;LEON Pierre;Paris;A. Colin;1977;606;Histoire mondiale;4419
94/26t2;Histoire économique et sociale du monde: les hésitations de la croissance 1580-1730;LEON Pierre;Paris;A. Colin;1978;608;Histoire mondiale: 1580-1730;4420
94/26t3;Histoire économique et sociale du monde: Inerties et révolutions 1730 - 1840;LEON Pierre;Paris;A. Colin;1978;620;Histoire mondiale;4421
94/26t4;Histoire économique et sociale du monde: la domination du capitalisme 1840-1914;LEON Pierre;Paris;A. Colin;1978;624;Histoire mondiale;4422
94/26t5;Histoire économique et sociale du monde: guerres et crises 1914-1947;LEON Pierre;Paris;A. Colin;1977;624;Histoire mondiale;4423
94/26t6;Histoire économique et sociale du monde: le second XXe siècle 1947 à nos jours;LEON Pierre;Paris;A. Colin;1977;607;Histoire mondiale;7267
94/27;Pour un autre moyen âge. temps, travail et culture en occident: 18 essais;LE GOFF Jacques;Paris;Gallimard;1977;426;Histoire du moyen âge;22223
94/28;Le haut moyen âge occidental: économies et sociétés;DOEHAERD Renée;Paris;Puf;1971;380;Histoire du moyen âge;21823
940 04/14 /01.;Le moyen âge: les mondes nouveaux. 350-950 t1;FOSSIER Robert;Paris;A. Colin;1982;520;Histoire du moyen âge;13695
940 04/14 /02.;Le moyen âge: l'éveil de l'Europe. 950-1250 t2;FOSSIER Robert;Paris;A. Colin;1982;514;Histoire du moyen âge;13696
940 04/14 /03.;Le moyen âge: le temps des crises. 1250 - 1520. t3;FOSSIER Robert;Paris;A. Colin;1983;523;Histoire du moyen âge;13697
950/01;The decadence of judaism in our time;MENUHIM Moshe;Beyrouth;Inst. palestinian studie;1969;589;Histoire de l'Asie;753
950/02;Ceylan Srilanka;MEYER Eric;Paris;Puf;1977;128;Histoire de l'Asie;1458
950/04;La sinologie;FRECHES Jose;Paris;Puf;1975;128;Histoire de l'Asie;1323
950/05;Prelude to Israël: an analysis of zionist diplomacy 1897-1947;TAYLOR Alan;Beyrouth;Inst. palestinian studie;1900;126;Histoire de l'Asie;756
950/06;The palestinian exodus from galilee 1948;NAZZAL Nafez;Beyrouth;Inst. palestinian studie;1978;149;Histoire de l'Asie;752
950/07;L'Arménie;ALEM Jean-Pierre;Paris;Puf;1972;128;Histoire de l'Asie;2375
950/08;L'Orient désorienté: pétrole, religion, politique;LANNOIS Philippe;Paris;Etude Vivantes;1980;208;Histoire de l'Asie;9879
951.9/01;The identity of the korean peopele: a history of legitimacy on the korean peninsula;  ;Korea;Nub;1983;236;Corée;17647
951/01;Bureaucratie et famine en Chine au 18è siècle;WILL Pierre Etienne;Paris;Mouton;1980;312;Chine;8525
951/02;Les chinois: esprit et comportement des chinois, comme ils se révèlent par leurs livres et dans leur vie;LARRE Claude;Paris;Lidis;1982;674;La chimie;16333
951/03;L'âge d'or de la bourgeoisie chinoise (1911-1937);BERGERE Marie-Claire;Paris;Flammarion;1986;374;La chine;16563
951/04;La république populaire de Chine de 1949 à nos jours;BERGERE Marie-Claire;Paris;A. Colin;1989;334;Histoire de la chine;20791
951/05;1587: le déclin de la dynastie des mings;HUANG Ray;Paris;Puf;1985;352;Histoire de la Chine;21946
951/06;La Chine au XXè siècle: de 1949 à aujourd'hui;BERGERE Marie-Claire. BIANCO Lucien. DOMES Jürgen (s/s dir;Paris;Fayard;1990;454;Chine;22615
951/07;Un choc de cultures. La vision des chinois (textes choisis);PEYREFITTE Alain;Paris;Fayard;1991;522;Histoire de la chine;25166
952.0/01;Histoire du Japon: des origines à la fin de meiji (matériaux pour l'étude de la langue et de la civilisation Japonaises);HERAIL Francine;Paris;Pof;1986;464;Histoire du japon;24042
953.2/01;La maison des Saoud = the house of Saoud;HOLDON David. JOHNS Richard;Paris;Ramsay;1982;564;Histoire de l'Arabie Saoudite;13505
953.2/02;Le royaume d'Arabie Saoudite à l'épreuve des temps modernes;SOULIE Jean-louis. CHAMPENOIS Lucien;Paris;A. Michel;1978;256;Histoire de l'Arabie Saoudite;16827
953.3_533_/01;Thulâ: architecture et urbanisme d'une cité de haute montagne en république arabe de Yémen;GOLVIN Lucien. FROMONT Marie-Christine;Paris;Recherche sur les civilisations;1984;246;Yémen: histoire de civilisation;14976
953.3/01;L'Arabie du sud histoire et civilisation: le peuple yéménite et ses racines. t1;  ;Paris;Maisonneuve/ Larose;1984;281;Yémen;13765
953.3/01t1bis;L'arabie du sud (histoire et civilisation): le peuple yéménite ses racines.t1;  ;Paris;Maisonneuve;1984;284;Histoire du Yémen;15983
953.3/01t2;L'arabie du sud (histoire et civilisation): la société yéménite de l'hégire aux idéologies modernes;  ;Paris;Maisonneuve/ Larose;1984;266;Histoire du Yémen;15984
953.3/01t3;L'arabie du sud (histoire et civilisation): culture et institutions du Yémen. t3;  ;Paris;Maisonneuve;1985;432;Histoire du Yémen;15985
953.65/01;Protection and politics in bahrain 1869 - 1915;FARAH Talal Toufic;Liban;American Library;1985;242;Bahrein;21590
953/01;Le Moyen-Orient au XXè siècle;DERRIENNIC Jean-Pierre;Paris;A. Colin;1980;282;Histoire des états arabes;5975
953/01bis;Le Moyen Orient au XXè siècle;DERRIENNIC Jean-Pierre;Paris;A. Colin;1983;304;Histoire des états arabes;16397
953/02;Le Royaume d'Arabie Saoudite à l'épreuve des temps modernes: un homme providentiel: Fayçal;SOULIE Jean-Louis;Paris;A. Michel;1978;248;Histoire des états arabes;1608
953/03;Le Liban;ALEM Jean-Pierre;Paris;Puf;1968;128;Histoires des états arabes;1563
953/04;Les émirats du golfe arabe;TUR Jean-Jacques;Paris;Puf;1976;127;Histoire des états arabes;2094
953/05;La Syrie;RONDOT Phillipe;Paris;Puf;1978;128;Histoire des états arabes;2097
953/06;La pensée arabe;ARKOUN Mohammed;Paris;Puf;1975;127;Histoire des états arabes;1454
953/07;Histoire de la palestine: des origines à 1977;GASPAR Lorand;Paris;Maspero;1978;259;Histoire des états arabes;1070
953/08;L'Arabie Saoudite;TOMICHE Fernand-J;Paris;Puf;1969;128;Histoire des états arabes;2093
953/09;History of the arabs: from the carliest times to the present;HITTI Philip K;Basingstoke;M;1980;757;Histoire des états arabes;10206
953/10t1;La péninsule arabique d'aujourd'hui. t1;  ;Paris;Cnrs;1982;367;Histoire des états arabes;13891
953/10t2;La péninsule arabique d'aujourd'hui: études par pays. t2;  ;Paris;Cnrs;1982;704;Histoire des états arabes;14145
953/11;Les émirats mirages: voyages chez les pétrocrates;DARDAUD Gabriel. LACOUTURE Simonne. LACOUTURE Jean;Paris;Seuil;1975;288;Histoire des états arabes;16909
953/12;Le Proche-Orient éclaté: de Suez à l'invasion du Liban (1956-1982);CORM Georges;Paris;La Découverte;1984;400;Histoires des états arabes;14632
954.0/01;Histoire philosophique et politique des deux Indes;RAYNAL G.Th;Paris;Maspero;1981;384;Histoire de l'inde;14169
954.0/02;History of the lodi sultans of delhi and agra;M.A  Abdul Halim;India;Idarah;1974;332;Inde;20173
954.0/03;History of the rise of the mahomedan power in india. v2;BRIGGS John;New Delhi;Oriental reprint;1929;352;Inde;20163
955/01;Le monde iranien et l'Islam. t4;  ;Paris;Cho;1977;246;Histoire: Iran;15013
956.0/01;Soliman le magnifique;CLOT André;Paris;Fayard;1983;438;Turquie;11098
956.0/02;Mustafa Kemal Atatürk et la Turquie nouvelle;BACQUE-GRAMMONI J.-l;Paris;Maisonneuve;1982;74;Turquie;16564
956.0/03;Histoire des prix et des salaires dans l'orient médiéval;ASHTOR Eliyahu;Paris;S.e.v.p.e.n;1969;576;Turquie;15515
956.0/04;Dans l'empire de Soliman le magnifique;NICOLAY Nicolas de;Paris;Cnrs;1989;312;Turquie;21183
956.0/04bis;Dans l'empire de Soliman le magnifique;NICOLAY Nicolas de;Paris;Presses du Cnrs;1989;312;Turquie;22890
956.7/01;La Mésopotamie: essai d'histoire politique, économique et culturelle;ROUX Georges;Paris;Seuil;1985;482;Histoire de l'Irak;16681
956.91/01;La Syrie d'aujourd'hui;  ;Paris;Cnrs;1980;448;Syrie;14525
956.91/02;Conquête de la Syrie et la Palestine par Saladin;AL-ISFAHANI Imad ad-Din;Paris;Belles Lettres;1972;464;Histoire de la Syrie;15282
956.91/03;Provincial leaderships in syria 1575-1650;ABU-HUSAYN Abdul-Rahiman;Lebanon;American University;1985;220;Histoire de Syrie;17645
956.93/01;Au fond de l'enfer, le ciel ouvert?: Liban terre de feu;DANIEL-ANGE;Paris;Saint Paul;1984;216;Histoire du Liban;15638
956.93/02;De Massada à Beyrouth: une leçon d'histoire;GINIEWSKI Paul;Paris;Puf;1983;272;Histoire du Liban;15647
956.93/03;Liban guerres ouvertes 1920-1985;BRIERE Claire;Paris;Ramsay;1985;232;Liban;15264
956.94/01;Réflexion sur les questions juives;KRIEGEL Annie;Paris;Hachette;1984;640;Israël;14065
956.96/01;Palestine 1948, l'expulsion;SANBAR Elias;Usa;Les livres de la rev;1984;240;Histoire de la Palestine;15601
956.96/02;Pour une histoire profane de la Palestine;SOLIMAN Lotfallah;Paris;La Découverte;1989;214;Palestine;22077
956.96/03;La Palestine histoire d'une terre;GIARDINA Andrea. LIVERANI Mario. SCARCIA AMORETTI Biencamaria;Paris;L'Harmattan;1990;224;Palestine;21247
958.1/01;Le royaume de l'insolence: la résistance afghane du grand mongol à l'invasion soviétique;BARRY Michael;Paris;Flammarion;1984;310;Afghanistan;15980
958.1/02;L'afghanistan: Islamet modernité politique;ROY Olivier;Paris;Seuil;1985;326;Afghanistan;15265
958/01;Central asia palaeolithic beginnings to the iron age = l'asie centrale des origines à l'âge du fer;KOHL Philippe;Paris;Recherche sur les civilisations;1984;316;Histoire de l'Asie centrale;14975
960/01;L'afrique aux africains: 20 ans d'indépendance en Afrique Noire francophone;BIARNES Pierre;Paris;A. Colin;1980;478;Histoire de l'Afrique;4075
960/02;Histoire de l'Afrique du Nord: Tunisie, Algérie, Maroc: des origines à la conquête arabe (674 ap.j.c);JULIEN Charles André;Paris;Payot;1975;333;Histoire de l'Afrique;1008
960/03;Histoire de l'Afrique du Nord: de la conquête arabe à 1830;JULIEN Charles André;Paris;Payot;1978;367;Histoire de l'Afrique;674
960/04;Histoire de l'Afrique du Nord: de la conquête arabe à 1830;JULIEN Charles André;Paris;Payot;1978;367;Histoire de l'Afrique;1009
960/05;Description de l'Afrique;L'AFRICAIN Jean-Léon;Paris;Lib. d'Amérique;1981;319;Histoire de l'Afrique;6643
960/06;Description de l'Afrique;L'AFRICAIN Jean-Léon;Paris;Lib. d'amérique;1981;629;Histoire de l'Afrique;6644
960/07;Les états barbaresques;MONLAU Jean;Paris;Puf;1973;127;Histoire de l'Afrique;1346
960/08;La Libye;GUENERON Hervé;Paris;Puf;1976;127;Histoire de l'Afrique;2091
960/09;Les Rhodesies et le Nyassaland;GUITARD Odette;Paris;Puf;1973;128;Histoire de l'Afrique;2087
960/10;Le Togo;CORNEVIN Robert;Paris;Puf;1973;128;Histoire de l'Afrique;1601
960/11;L'afrique orientale;BOURDE André;Paris;Puf;1968;128;Histoire de l'Afrique;2077
960/12;Le Zaïre;CORNEVIN Robert;Paris;Puf;1977;128;Histoire de l'Afrique;2088
960/13;L'Egypte: lutte de classes et libération nationale. t1. 1945-1967;HUSSEIN Mahmoud;Paris;Maspero;1975;182;Histoire de l'Afrique;1082
960/14t1;Histoire générale de l'Afrique: méthodologie et préhistoire africaine. t1;KI-ZERBO J;Paris;Unesco;1979;896;Histoire de l'Afrique;4496
960/15t2;Histoire générale de l'Afrique: Afrique ancienne. t2;MOKHTAR G;Paris;Unesco;1980;928;Histoire de l'Afrique;6357
960/92;Introduction à l'Afrique du Nord contemporaine;CNRS;Paris;Cnrs;1975;449;Histoire de l'Afrique;6777
960/18bis;La berbérie orientale sous les zirides Xè-XIIè siècles. t1;IDRIS Hady Roger;Paris;Lib. d'amérique;1962;406;Histoire de l'Afrique;4485
960/18;La berbérie orientale sous les zirides Xè-XIIè siècles. t2;IDRIS Hady Roger;Paris;Lib. d'amérique;1962;886;Histoire de l'Afrique;4486
960/19;Mauritanie 1900-1975: de l'ordre colonial à l'ordre néo-colonial entre Maghreb et Afrique Noire;CHASSEY Francis de;Paris;Anthropos;1978;488;Histoire de l'Afrique;1107
960/20;L'afrique depuis 1800;OLIVIER Roland. ANTONY Atmore;Paris;Puf;1970;352;Histoire de l'Afrique;6025
960/21;L'intérieur du Maghreb XVè-XIXè siècle;BERQUE Jacques;Paris;Gallimard;1978;546;Histoire de l'Afrique;676
960/22;Le Maghreb avant la prise d'Alger (1790-1830);VALENSI Lucette;Paris;Flammarion;1900;140;Histoire de l'Afrique;6080
960/23;L'histoire du Maghreb. t1;LAROUI Abdellah;Paris;Maspero;1976;207;Histoire de l'Afrique;664
960/24;L'histoire du Maghreb. t2;LAROUI Abdellah;Paris;Maspero;1976;171;Histoire de l'Afrique;665
960/25;Tunis et Alger au XVIIIè siècle;VENTURE De Paradis;Paris;Sindbad;1983;292;Histoire de l'Afrique;14228
960/26;Description de l'Afrique septentrionale;EL-BEKRI Abou Obeid;Paris;Lib. d'amérique;1965;617;Histoire de l'Afrique;658
960/27;L'afrique du sud: histoire d'une crise;LE FORT René;;Maspero;1977;152;Histoire de l'Afrique;7006
960/28;L'Egypte;HUSSEIN Mahmoud;Paris;Maspero;1975;153;Histoire de l'Afrique;1081
960/29;Le Maghreb entre deux guerres;BERQUE Jacques;Paris;Seuil;1962;447;Histoire de l'Afrique;4508
960/30;L'afrique au XXè siècle: l'éveil et les combats du nationalisme africain;DAVIDSON Basil;Paris;Z.a;1978;446;Histoire de l'Afrique;4008
960/31;La berbérie orientale: sous la dynastie des Benou'l-arlab 800-909;VONDERHEYDEN M;Paris;Orientaliste;1927;331;Histoire de l'Afrique;4493
960/32;La berbérie orientale: sous la dynastie des Benou 'l-arlab 800-909;VONDERHEYDEN M;Paris;Orientaliste;1927;344;Histoire de l'Afrique;659
960/33;Histoire des berbères: et des dynasties musulmanes de l'Afrique septentrionale. t1;IBN KHALDOUN;Paris;Orientaliste;1978;452;Histoire de l'Afrique;4487
960/34;Histoire des berbères: et des dynasties musulmanes de l'Afrique septentrionale. t2;IBN KHALDOUN;Paris;Orientaliste;1978;605;Histoire de l'Afrique;4488
960/35;Histoire des berbères: et des dynasties musulmanes de l'Afrique septentrionale. t3;IBN KHALDOUN;Paris;Orientaliste;1978;507;Histoire de l'Afrique;4489
960/36;Histoire des berbères: et des dynasties musulmanes de l'Afrique septentrionale. t4;IBN KHALDOUN;Paris;Orientaliste;1978;628;Histoire de l'Afrique;4490
960/37;Masalik el absar fi mamalik el amsar: l'Afrique, moins l'Egypte. t1;AL-OMARI Ibn Fadl  Allah;Paris;Geuthner;1927;284;Histoire de l'Afrique;4528
960/38;Mémorial Henri Basset. nouvelles études nord-africaines et orientales;Institut des hautes études marocaines;Paris;Orientalis;1928;337;Histoire de l'Afrique;4521
